"Date and Time Run 1","Time (s) Run 1","Force, 964-462 (N) Run 1","Acceleration - x, 964-462 (m/s²) Run 1","Acceleration - y, 964-462 (m/s²) Run 1","Acceleration - z, 964-462 (m/s²) Run 1","Acceleration - resultant, 964-462 (m/s²) Run 1","Force, 946-449 (N) Run 1","Acceleration - x, 946-449 (m/s²) Run 1","Acceleration - y, 946-449 (m/s²) Run 1","Acceleration - z, 946-449 (m/s²) Run 1","Acceleration - resultant, 946-449 (m/s²) Run 1","Force, 969-321 (N) Run 1","Acceleration - x, 969-321 (m/s²) Run 1","Acceleration - y, 969-321 (m/s²) Run 1","Acceleration - z, 969-321 (m/s²) Run 1","Acceleration - resultant, 969-321 (m/s²) Run 1","Force, 966-489 (N) Run 1","Acceleration - x, 966-489 (m/s²) Run 1","Acceleration - y, 966-489 (m/s²) Run 1","Acceleration - z, 966-489 (m/s²) Run 1","Acceleration - resultant, 966-489 (m/s²) Run 1"
03/29/2026 03:49:00 pm,0.700,-0.24,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.710,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.720,-0.24,0.0,-0.1,9.8,9.8,-0.15,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.730,-0.24,0.0,-0.1,9.8,9.8,-0.16,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.740,-0.24,0.0,-0.1,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.750,-0.25,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.760,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.770,-0.23,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.780,-0.23,0.0,0.0,9.8,9.8,-0.15,-0.3,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.96,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.790,-0.25,0.0,0.0,9.8,9.8,-0.17,-0.3,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.95,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.800,-0.24,0.0,-0.1,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.94,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.810,-0.26,0.0,-0.1,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.820,-0.25,0.0,-0.1,9.8,9.8,-0.16,-0.3,-0.3,9.9,9.9,-0.25,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.830,-0.26,0.0,0.0,9.8,9.8,-0.14,-0.3,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.840,-0.27,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.850,-0.27,0.0,0.0,9.8,9.8,-0.16,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.860,-0.26,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.870,-0.27,0.0,-0.1,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.880,-0.24,0.0,-0.1,9.8,9.8,-0.18,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.99,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.890,-0.23,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.900,-0.24,0.0,0.0,9.8,9.8,-0.18,-0.4,-0.2,9.9,9.9,-0.27,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.910,-0.23,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.2,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.99,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.920,-0.23,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.930,-0.24,0.0,-0.1,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.940,-0.24,0.0,-0.1,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.1,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.950,-0.24,0.0,0.0,9.8,9.8,-0.17,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.960,-0.24,0.0,0.0,9.8,9.8,-0.14,-0.4,-0.2,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.970,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.98,-0.1,0.0,9.9,9.9
03/29/2026 03:49:00 pm,0.980,-0.25,0.0,0.0,9.9,9.9,-0.15,-0.4,-0.3,9.9,9.9,-0.26,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.8,9.8
03/29/2026 03:49:00 pm,0.990,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.3,-0.3,9.9,9.9,-0.25,-0.2,-0.2,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
03/29/2026 03:49:01 pm,1.000,-0.25,0.0,0.0,9.8,9.8,-0.15,-0.3,-0.3,9.9,9.9,-0.24,-0.2,-0.1,9.9,9.9,0.96,-0.1,0.0,9.9,9.9
03/29/2026 03:49:01 pm,1.010,-0.26,0.0,0.0,9.8,9.8,-0.17,-0.3,-0.3,9.9,9.9,-0.27,-0.2,-0.1,9.9,9.9,0.97,-0.1,0.0,9.9,9.9
